    , time                     , open   , high   , low    , close  , volume, bb_upper, bb_middle, bb_lower, percentb
1077, 2024-11-04 19:20:00+00:00, 67918.4, 68013.3, 67911.0, 67975.6,    2.0,  68031.8,   67793.5,  67555.1, 0.9
1078, 2024-11-04 19:25:00+00:00, 67975.6, 68062.4, 67966.4, 67972.0,    5.7,  68051.5,   67800.9,  67550.3, 0.8
1079, 2024-11-04 19:30:00+00:00, 67972.0, 67972.0, 67829.4, 67918.3,   27.5,  68054.5,   67802.0,  67549.6, 0.7
1080, 2024-11-04 19:35:00+00:00, 67918.4, 67976.8, 67869.5, 67885.0,    5.3,  68059.7,   67804.9,  67550.0, 0.7
1081, 2024-11-04 19:40:00+00:00, 67887.9, 67895.9, 67813.6, 67836.0,    3.9,  68059.1,   67814.2,  67569.3, 0.5
1082, 2024-11-04 19:45:00+00:00, 67835.1, 67948.3, 67835.1, 67855.4,    5.0,  68057.4,   67824.8,  67592.2, 0.6
1083, 2024-11-04 19:50:00+00:00, 67855.4, 67871.8, 67813.3, 67827.8,    2.0,  68055.2,   67832.1,  67609.0, 0.5
1084, 2024-11-04 19:55:00+00:00, 67829.8, 67909.8, 67816.8, 67855.4,    2.2,  68057.6,   67834.6,  67611.7, 0.5
1085, 2024-11-04 20:00:00+00:00, 67855.4, 67855.4, 67743.0, 67743.1,    3.1,  68046.0,   67824.9,  67603.8, 0.3
1086, 2024-11-04 20:05:00+00:00, 67743.1, 67751.0, 67690.0, 67696.2,    3.1,  68048.0,   67820.3,  67592.6, 0.2
1087, 2024-11-04 20:10:00+00:00, 67692.3, 67737.0, 67687.6, 67687.6,    2.0,  68050.3,   67816.7,  67583.0, 0.2
1088, 2024-11-04 20:15:00+00:00, 67687.5, 67746.5, 67579.5, 67723.7,   17.0,  68050.7,   67814.3,  67577.9, 0.3
1089, 2024-11-04 20:20:00+00:00, 67723.8, 67723.8, 67582.5, 67699.6,    6.9,  68049.2,   67815.5,  67581.9, 0.3
1090, 2024-11-04 20:25:00+00:00, 67699.7, 67714.1, 67604.4, 67668.3,    3.5,  68048.8,   67815.8,  67582.7, 0.2
1091, 2024-11-04 20:30:00+00:00, 67668.3, 67679.5, 67600.6, 67600.6,    2.3,  68056.4,   67811.8,  67567.1, 0.1
1092, 2024-11-04 20:35:00+00:00, 67596.1, 67596.1, 67472.9, 67530.1,   19.1,  68071.1,   67805.7,  67540.3, -0.0
1093, 2024-11-04 20:40:00+00:00, 67530.2, 67664.6, 67530.1, 67564.7,    6.9,  68081.3,   67796.8,  67512.4, 0.1
1094, 2024-11-04 20:45:00+00:00, 67562.0, 67597.0, 67461.3, 67464.5,    2.9,  68079.9,   67771.8,  67463.8, 0.0
